StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q24,Q29,Q33,Q12,Q13,Q14,Q9,Q10,Q11,Q15,Q16,Q17,Q28,Q18,Q19,Q20,Q22,Q23,Q21,Q26,Q27,Q_RecaptchaStatus,Q_RecaptchaError,Q_TerminateFlag,Condition,FL_7_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"This study is conducted as part of a bachelor's thesis in Marketing at the Vrije Universiteit Amsterdam.

The research investigates how algorithmic transparency and data disclosure practices influence consumer-brand relationships in digital environments. Your participation involves viewing a short shopping scenario and answering questions about your perceptions and preferences, which should take approximately 7-10 minutes to complete. 

All responses collected during this session are strictly anonymous and will be used solely for academic purposes. You have the right to withdraw from the survey at any time without providing a reason. By clicking the button below, you acknowledge that you are at least 18 years of age and provide your informed consent to participate.


Do you agree to participate in this study?",The platform provided a clear explanation of how it arrived at its recommendations,The platform was transparent about the data it used to generate its recommendations.,The platform clarified the capabilities and limitations of its recommendation algorithm.,The goal of this algorithmic recommendation was to persuade me to make a purchase.,This algorithm was specifically intended to manipulate my opinion about the product.,This algorithm was intentionally designed to influence my personal preference toward certain products.,It bothers me that this platform's algorithm is able to track detailed information about my behavior.,I am concerned that the algorithm has access to too much of my personal information.,I am concerned that my information could be used by this algorithm in ways I could not foresee.,I am willing to make repeat purchases from this company in the future despite knowing how they use my data.,I have a positive outlook on the long-term value I will receive from maintaining a relationship with this company.,I perceive the company’s algorithmic personalization as effective and customer-oriented.,"To show you read this, select 'Neither agree nor disagree'",I can distinguish between algorithmic recommendations and standard advertisements.,I understand how AI technology utilizes my data to personalize content.,I can evaluate the capabilities and limitations of an AI recommendation engine after seeing it.,I can manage the personal information I provide to this platform to influence its recommendations.,I have control over what personal information is collected for algorithmic targeting.,I have control over how my personal information is processed by this algorithm.,What is your age?,What is your gender?,Q_RecaptchaStatus,Q_RecaptchaError,Q_TerminateFlag,Condition,FL_7 - Block Randomizer - Display Order
2026-05-07 08:02:45,2026-05-07 08:04:52,IP Address,41.102.68.175,100,127,True,2026-05-07 20:44:17,R_8OO3Sy2tWqRceI1,,,,,34.919,0.1292,anonymous,EN,1,"Yes, I agree",Neither agree nor disagree,Strongly disagree,Strongly disagree,Disagree,Somewhat agree,Neither agree nor disagree,Disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,35 - 44,Male,complete,,,,BL_7Xal9DIab0HTASW
2026-05-07 13:49:00,2026-05-07 13:53:07,IP Address,172.225.253.133,100,247,True,2026-05-07 21:25:10,R_8P6GTJsPaZHn06d,,,,,52.3716,4.8883,anonymous,EN,1,"Yes, I agree",Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,18 - 24,Female,complete,,,Low,FL_31
2026-05-07 14:35:49,2026-05-07 14:39:10,IP Address,95.96.47.160,100,201,True,2026-05-07 21:26:54,R_8iI6DtbsaO53vzz,,,,,51.9082,4.5019,anonymous,EN,1,"Yes, I agree",Agree,Agree,Agree,Agree,Agree,Somewhat disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,25 - 34,Male,complete,,,High,FL_29
2026-05-07 15:13:59,2026-05-07 15:20:45,IP Address,172.225.253.128,100,406,True,2026-05-07 21:33:16,R_2cZckTBVx5YXI3v,,,,,52.3716,4.8883,anonymous,EN,1,"Yes, I agree",Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Somewhat agree,Disagree,Agree,Agree,Somewhat agree,Agree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Disagree,18 - 24,Female,complete,,,High,FL_29
2026-05-07 18:03:44,2026-05-07 18:06:28,IP Address,217.105.50.232,100,164,True,2026-05-07 21:38:02,R_2sTk4rSjkovtway,,,,,52.2961,4.9549,anonymous,EN,1,"Yes, I agree",Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,18 - 24,Female,complete,,,Low,FL_31
2026-05-07 18:39:52,2026-05-07 18:43:20,IP Address,109.38.152.171,100,208,True,2026-05-07 21:39:06,R_8IBf432pfgNRYUR,,,,,52.3716,4.8883,anonymous,EN,0.800000011920929,"Yes, I agree",Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Disagree,18 - 24,Female,complete,,,High,FL_29
2026-05-07 19:10:31,2026-05-07 19:13:39,IP Address,77.175.33.151,100,188,True,2026-05-07 21:46:49,R_8zNJZv9XQSIFnd6,,,,,52.3975,4.9278,anonymous,EN,1,"Yes, I agree",Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Disagree,Somewhat agree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,18 - 24,Female,complete,,,High,FL_29
2026-05-07 20:33:29,2026-05-07 20:37:12,IP Address,84.29.15.171,100,223,True,2026-05-07 21:46:49,R_8u25e5c5OkYtn7H,,,,,52.3045,4.8656,anonymous,EN,1,"Yes, I agree",Strongly agree,Disagree,Somewhat agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,18 - 24,Female,complete,,,High,FL_29
2026-05-07 20:46:08,2026-05-07 20:47:18,IP Address,89.205.202.225,100,70,True,2026-05-07 21:48:28,R_8C7r1QxHWoxH1IJ,,,,,52.3824,4.8995,anonymous,EN,1,"Yes, I agree",Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Strongly disagree,Strongly disagree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,18 - 24,Male,complete,,,Low,FL_31
